external_id,name,date_of_birth,outcome_datetime,age_outcome_days,animal_type,outcome_type,outcome_subtype,sex,is_intact,breed,color
A713051,,2015-09-25,2015-10-02 11:06:00,7.0,Cat,Stray,Normal,Unknown,,Domestic Shorthair Mix,Brown Tabby
A713052,,2015-09-25,2015-10-02 11:06:00,7.0,Cat,Stray,Normal,Unknown,,Domestic Shorthair Mix,Brown Tabby
A713046,*Bindy,2015-06-04,2015-10-02 11:07:00,120.0,Cat,Owner Surrender,Normal,Female,False,Domestic Medium Hair Mix,Black/White
A713045,,2014-10-02,2015-10-02 11:07:00,365.0,Cat,Stray,Normal,Unknown,,Domestic Medium Hair Mix,Black/White
A713047,,2015-07-04,2015-10-02 11:16:00,90.0,Dog,Stray,Normal,Female,True,Labrador Retriever Mix,Black/White
A713058,,2012-10-02,2015-10-02 11:31:00,1095.0,Cat,Stray,Normal,Male,True,Domestic Shorthair Mix,Brown Tabby/White
A713061,*Herlinda,2015-04-05,2015-10-02 11:36:00,180.0,Dog,Stray,Normal,Female,True,Labrador Retriever Mix,Black/White
A713063,,2014-10-02,2015-10-02 11:36:00,365.0,Dog,Stray,Normal,Female,True,Labrador Retriever Mix,Tan/White
A713067,Sammy,2014-10-02,2015-10-02 11:57:00,365.0,Dog,Owner Surrender,Normal,Female,False,German Shepherd Mix,Tan/Black
A713083,*Bosley,2015-09-02,2015-10-02 12:28:00,30.0,Cat,Stray,Normal,Male,True,Domestic Shorthair Mix,Blue
A713075,Kit,2015-09-02,2015-10-02 12:28:00,30.0,Cat,Stray,Normal,Female,True,Domestic Shorthair Mix,Black/White
A713076,*Kelly,2015-08-28,2015-10-02 12:28:00,35.0,Cat,Stray,Normal,Female,True,Domestic Shorthair Mix,Black/White
A713078,*Jill,2015-09-02,2015-10-02 12:28:00,30.0,Cat,Stray,Normal,Female,True,Domestic Shorthair Mix,Black/White
A713080,*Morticia,2015-09-11,2015-10-02 12:37:00,21.0,Cat,Stray,Normal,Female,True,Domestic Shorthair Mix,Black/White
A713082,,2015-09-11,2015-10-02 12:37:00,21.0,Cat,Stray,Normal,Male,True,Domestic Shorthair Mix,Black
A657681,Blu,2012-10-02,2015-10-02 12:41:00,1095.0,Dog,Stray,Normal,Male,False,Pit Bull Mix,Brown Brindle/White
A713084,Haelo,2009-10-03,2015-10-02 13:02:00,2190.0,Dog,Owner Surrender,Normal,Male,True,Miniature Poodle Mix,Buff
A713086,Chloe,2013-10-02,2015-10-02 13:11:00,730.0,Dog,Stray,Injured,Female,True,Chihuahua Shorthair Mix,Black/Tricolor
A713087,Chiquis,2012-10-02,2015-10-02 13:24:00,1095.0,Dog,Public Assist,Normal,Male,True,Pit Bull Mix,Chocolate/White
A713091,Nettie Bo,2010-10-03,2015-10-02 13:57:00,1825.0,Dog,Stray,Normal,Female,False,Chihuahua Shorthair Mix,Tricolor
A713099,,2015-06-04,2015-10-02 14:10:00,120.0,Cat,Stray,Normal,Female,True,Siamese Mix,Lynx Point
A713095,,2015-06-04,2015-10-02 14:10:00,120.0,Cat,Stray,Normal,Female,True,Domestic Shorthair Mix,Brown Tabby
A713094,Bruce,2015-09-11,2015-10-02 14:10:00,21.0,Cat,Stray,Normal,Male,True,Siamese Mix,Lynx Point
A713098,,2015-04-05,2015-10-02 14:10:00,180.0,Cat,Stray,Normal,Male,True,Siamese Mix,Lynx Point
A713093,*Mindy,2013-10-02,2015-10-02 14:10:00,730.0,Cat,Stray,Normal,Female,True,Domestic Shorthair Mix,Brown Tabby/White
A713096,Blanca,2013-10-02,2015-10-02 14:16:00,730.0,Dog,Stray,Normal,Female,False,Labrador Retriever Mix,White
A713092,Justice,2014-10-02,2015-10-02 14:19:00,365.0,Dog,Stray,Normal,Male,True,Great Pyrenees Mix,White
A713100,,2015-09-02,2015-10-02 14:30:00,30.0,Cat,Stray,Normal,Male,True,Domestic Shorthair Mix,Black/White
A713101,Camilla,2015-09-02,2015-10-02 14:42:00,30.0,Cat,Stray,Normal,Female,True,Domestic Shorthair Mix,Black
A637896,Modelo,2012-10-02,2015-10-02 15:02:00,1095.0,Cat,Stray,Sick,Male,False,Domestic Longhair Mix,Brown Tabby/White
